artifact_penalty,clean_quality_score,contrast,edit_strength_score,excessive_drift_penalty,face_detected_edited,face_detected_original,filter_reasons,filter_status,guidance_scale,identity_distance_sface_if_available,identity_similarity_sface_if_available,image_guidance_scale,l2,max_abs,mean_abs,mean_brightness,near_black_fraction,near_white_fraction,num_inference_steps,path_config,path_edited,path_original,prompt,prompt_group,prompt_slug,psnr,seed,ssim
0.0,1.75,0.156026691198349,1.0,0.0,False,True,edited_face_not_detected,rejected,7.5,,,1.0,0.21415241156132483,0.9607843160629272,0.15007992088794708,0.3636877238750458,0.002685546875,0.0,20,phase1/outputs/prompt_discovery/all_runs/add_a_red_beanie/igs_1p0_gs_7p5/config.json,phase1/outputs/prompt_discovery/all_runs/add_a_red_beanie/igs_1p0_gs_7p5/edited.png,phase1/outputs/prompt_discovery/all_runs/add_a_red_beanie/igs_1p0_gs_7p5/original.png,add a red beanie,primary,add_a_red_beanie,13.38554061335859,1234,0.5772600769996643
0.0,1.75,0.16486531496047974,1.0,0.0,False,True,edited_face_not_detected,rejected,7.5,,,1.5,0.1792602435155183,0.9490196108818054,0.11028914898633957,0.3690621852874756,0.002239227294921875,0.0,20,phase1/outputs/prompt_discovery/all_runs/add_a_red_beanie/igs_1p5_gs_7p5/config.json,phase1/outputs/prompt_discovery/all_runs/add_a_red_beanie/igs_1p5_gs_7p5/edited.png,phase1/outputs/prompt_discovery/all_runs/add_a_red_beanie/igs_1p5_gs_7p5/original.png,add a red beanie,primary,add_a_red_beanie,14.930320358932029,1234,0.6497121453285217
0.0,2.75,0.18834280967712402,1.0,0.0,True,True,,keep,7.5,,,2.0,0.12221921993814869,0.7215686440467834,0.07195943593978882,0.3925646245479584,0.00921630859375,0.0,20,phase1/outputs/prompt_discovery/all_runs/add_a_red_beanie/igs_2p0_gs_7p5/config.json,phase1/outputs/prompt_discovery/all_runs/add_a_red_beanie/igs_2p0_gs_7p5/edited.png,phase1/outputs/prompt_discovery/all_runs/add_a_red_beanie/igs_2p0_gs_7p5/original.png,add a red beanie,primary,add_a_red_beanie,18.25720984967267,1234,0.7259519100189209
0.0,2.27247138770517,0.19614164531230927,0.5224713877051701,0.0,True,True,,keep,7.5,,,2.5,0.05224713877051702,0.6823529601097107,0.02917022816836834,0.42206379771232605,0.01645660400390625,3.814697265625e-06,20,phase1/outputs/prompt_discovery/all_runs/add_a_red_beanie/igs_2p5_gs_7p5/config.json,phase1/outputs/prompt_discovery/all_runs/add_a_red_beanie/igs_2p5_gs_7p5/edited.png,phase1/outputs/prompt_discovery/all_runs/add_a_red_beanie/igs_2p5_gs_7p5/original.png,add a red beanie,primary,add_a_red_beanie,25.6387497599172,1234,0.799942672252655
0.0,2.75,0.16941037774085999,1.0,0.0,True,True,,keep,7.5,,,1.0,0.14953000425898072,0.9450980424880981,0.09508772939443588,0.4776366949081421,0.000385284423828125,0.0,20,phase1/outputs/prompt_discovery/all_runs/add_a_blue_beanie/igs_1p0_gs_7p5/config.json,phase1/outputs/prompt_discovery/all_runs/add_a_blue_beanie/igs_1p0_gs_7p5/edited.png,phase1/outputs/prompt_discovery/all_runs/add_a_blue_beanie/igs_1p0_gs_7p5/original.png,add a blue beanie,primary,add_a_blue_beanie,16.505433086366715,1234,0.7342217564582825
0.0,2.75,0.18102894723415375,1.0,0.0,True,True,,keep,7.5,,,1.5,0.125303927125948,0.8588235378265381,0.08449546247720718,0.47424745559692383,0.0007171630859375,3.814697265625e-06,20,phase1/outputs/prompt_discovery/all_runs/add_a_blue_beanie/igs_1p5_gs_7p5/config.json,phase1/outputs/prompt_discovery/all_runs/add_a_blue_beanie/igs_1p5_gs_7p5/edited.png,phase1/outputs/prompt_discovery/all_runs/add_a_blue_beanie/igs_1p5_gs_7p5/original.png,add a blue beanie,primary,add_a_blue_beanie,18.040706353077518,1234,0.7740116119384766
0.0,2.75,0.1890764683485031,1.0,0.0,True,True,,keep,7.5,,,2.0,0.10343488657522397,0.8823529481887817,0.07144374400377274,0.46763500571250916,0.0013580322265625,7.62939453125e-06,20,phase1/outputs/prompt_discovery/all_runs/add_a_blue_beanie/igs_2p0_gs_7p5/config.json,phase1/outputs/prompt_discovery/all_runs/add_a_blue_beanie/igs_2p0_gs_7p5/edited.png,phase1/outputs/prompt_discovery/all_runs/add_a_blue_beanie/igs_2p0_gs_7p5/original.png,add a blue beanie,primary,add_a_blue_beanie,19.706659149068173,1234,0.7877905368804932
0.0,2.639733121005099,0.20100811123847961,0.8897331210050988,0.0,True,True,,keep,7.5,,,2.5,0.08897331210050989,0.7568627595901489,0.06750299781560898,0.46931594610214233,0.003002166748046875,3.814697265625e-06,20,phase1/outputs/prompt_discovery/all_runs/add_a_blue_beanie/igs_2p5_gs_7p5/config.json,phase1/outputs/prompt_discovery/all_runs/add_a_blue_beanie/igs_2p5_gs_7p5/edited.png,phase1/outputs/prompt_discovery/all_runs/add_a_blue_beanie/igs_2p5_gs_7p5/original.png,add a blue beanie,primary,add_a_blue_beanie,21.014804843641706,1234,0.7852237820625305
0.0,2.75,0.19056180119514465,1.0,0.0,True,True,,keep,7.5,,,1.0,0.17144768328884213,0.8274509906768799,0.11576949805021286,0.40683889389038086,0.009990692138671875,0.0,20,phase1/outputs/prompt_discovery/all_runs/add_light_stubble/igs_1p0_gs_7p5/config.json,phase1/outputs/prompt_discovery/all_runs/add_light_stubble/igs_1p0_gs_7p5/edited.png,phase1/outputs/prompt_discovery/all_runs/add_light_stubble/igs_1p0_gs_7p5/original.png,add light stubble,primary,add_light_stubble,15.317367579504479,1234,0.6376494765281677
0.0,2.75,0.18668635189533234,1.0,0.0,True,True,,keep,7.5,,,1.5,0.13065900693045412,0.6470588445663452,0.08022885024547577,0.4007658064365387,0.02396392822265625,0.0,20,phase1/outputs/prompt_discovery/all_runs/add_light_stubble/igs_1p5_gs_7p5/config.json,phase1/outputs/prompt_discovery/all_runs/add_light_stubble/igs_1p5_gs_7p5/edited.png,phase1/outputs/prompt_discovery/all_runs/add_light_stubble/igs_1p5_gs_7p5/original.png,add light stubble,primary,add_light_stubble,17.677212939495824,1234,0.7334137558937073
